search_rank,case_title,unodc_case_number,canonical_url,url_path_crime_type,fact_summary_status,has_english_fact_summary,has_any_fact_summary,fact_summary_variant_count,fact_summary_language_count,fact_summary_languages,has_sidebar_acts,sidebar_acts_count,has_sidebar_means,sidebar_means_count,has_sidebar_purpose,sidebar_purpose_count,has_legacy_keyword_acts,legacy_keyword_acts_count,has_legacy_keyword_means,legacy_keyword_means_count,has_legacy_keyword_purpose,legacy_keyword_purpose_count,has_victim_or_person_role_section,person_role_section_count,person_role_record_count,has_defendant_or_respondent_section,defendant_respondent_section_count,defendant_respondent_record_count,has_charges_claims_decisions,charge_subject_record_count,charge_record_count,has_court,tabbed_section_count,tabbed_pane_count,multi_pane_section_count,multilingual_section_count,multilingual_section_labels,crime_type_badge_count,parse_warning_count,parse_warning_severity_count,parse_warning_codes,overall_parse_status
341,Causa Nº 3365/12,ARG032,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2012/causa_n_336512.html,traffickingpersonscrimetype,FOUND,1,1,2,2,en|es,0,0,0,0,0,0,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,8,4,4,Fact Summary|Defendants / Respondents in the first instance|Procedural Information|Sources / Citations,1,0,0,,FOUND
342,Processo n 0006689-60.2007.4.05.8400,BRA063,https://www.unodc.org/cld/case-law-doc/criminalgroupcrimetype/bra/2012/processo_n_0006689-60.2007.4.05.8400.html,criminalgroupcrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,3,1,2,1,1,1,1,1,1,1,2,1,2,4,1,0,0,0,0,,2,0,0,,FOUND
343,Causa 2432,ARG018,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2012/causa_2432.html,traffickingpersonscrimetype,FOUND,1,1,2,2,en|es,0,0,0,0,0,0,1,2,1,2,1,1,1,1,3,1,1,1,1,1,1,1,5,10,5,5,Fact Summary|Defendants / Respondents in the first instance|Commentary and Significant Features|Procedural Information|Sources / Citations,1,0,0,,FOUND
344,CRIM. CASE NO. 09-217-I,PHL040,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/phl/2012/crim._case_no._09-217-i.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,3,1,3,1,1,1,1,2,1,1,3,1,3,3,1,0,0,0,0,,1,0,0,,FOUND
345,Hjoerring City Court judgement August 22 2012,DNK014,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/dnk/2012/hjoerring_city_court_judgement_august_22_2012.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,2,1,1,1,1,1,2,1,1,1,1,1,1,4,1,1,2,1,2,3,1,0,0,0,0,,1,0,0,,FOUND
346,Processo nº 0001703-58.2007.4.03.6124,BRA020,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/bra/2012/processo_n_0001703-58.2007.4.03.6124.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,,2,0,0,,FOUND
347,CRIM. CASE NO. 14206,PHL054,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/phl/2012/crim._case_no._14206.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,,1,0,0,,FOUND
348,ACR 0006016-11.2007.8.26.0297 SP,BRA114,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/bra/2012/acr_0006016-11.2007.8.26.0297_sp.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,4,1,0,0,0,0,,1,0,0,,FOUND
349,No. 1-12-7180,EST005,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/est/2012/no._1-12-7180.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,2,1,2,1,1,1,2,1,2,1,1,0,0,0,1,1,2,1,2,2,1,0,0,0,0,,1,0,0,,FOUND
350,Processo n 0008821-69.2011.403.6181,BRA071,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/bra/2012/processo_n_0008821-69.2011.403.6181_.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,3,1,3,1,1,1,1,4,1,1,3,1,3,3,1,0,0,0,0,,1,0,0,,FOUND
351,Docket Number - 0:11-cr-00083-ADM-JJG [2012],USA168,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/usa/2012/docket_number_-_011-cr-00083-adm-jjg_2012.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,,1,0,0,,FOUND
352,ACR 2008.61.24.000743-8 TRF3,BRA113,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/bra/2012/acr_2008.61.24.000743-8_trf3.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,5,1,2,1,1,1,5,1,2,1,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,,1,0,0,,FOUND
353,CASE OF M. AND OTHERS v. ITALY AND BULGARIA,ITA001,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/ita/2012/case_of_m._and_others_v._italy_and_bulgaria_.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,3,1,5,1,4,1,1,4,1,1,2,1,2,8,1,0,0,0,0,,1,0,0,,FOUND
354,CASE OF M. AND OTHERS v. ITALY AND BULGARIA,BGR001,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/bgr/2012/case_of_m._and_others_v._italy_and_bulgaria_.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,3,1,5,1,4,1,1,4,1,1,2,1,2,8,1,0,0,0,0,,1,0,0,,FOUND
355,Linda Velez v. Betsy Sanchez,USA131,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/usa/2012/linda_velez_v._betsy_sanchez.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,3,1,3,9,1,0,0,0,0,,1,0,0,,FOUND
356,CR-HC NO. 04882,PHL033,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/phl/2012/cr-hc_no._04882.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,4,1,2,1,1,1,1,5,1,1,1,1,1,1,1,0,0,0,0,,1,0,0,,FOUND
357,Case nº 3130/11,ARG031,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2012/case_n_313011.html,traffickingpersonscrimetype,FOUND,1,1,2,2,en|es,1,3,0,0,0,0,1,3,1,1,1,2,1,1,1,1,1,2,1,2,2,1,5,10,5,5,Fact Summary|Defendants / Respondents in the first instance|Defendants / Respondents in the first instance|Procedural Information|Sources / Citations,1,0,0,,FOUND
358,CRIM. CASE NO. CBU-86397,PHL038,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/phl/2012/crim._case_no._cbu-86397.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,1,1,1,1,1,1,1,4,1,1,2,1,2,2,1,0,0,0,0,,1,0,0,,FOUND
359,Causa 20.469,ARG029,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2012/causa_20.469.html,traffickingpersonscrimetype,FOUND,1,1,2,2,en|es,0,0,0,0,0,0,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,4,8,4,4,Fact Summary|Commentary and Significant Features|Procedural Information|Sources / Citations,1,0,0,,FOUND
360,R.G. ASS. nr 11/10 - Trafficking Case,ITAx024,https://www.unodc.org/cld/case-law-doc/criminalgroupcrimetype/ita/2012/r.g._ass._nr_1110_-_trafficking_case.html,criminalgroupcrimetype,FOUND,1,1,1,1,en,1,6,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,10,1,10,12,0,0,0,0,0,,2,0,0,,FOUND
361,CRIM. CASE NO. 08-259544,PHL032,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/phl/2012/crim._case_no._08-259544.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,1,0,0,1,1,1,1,2,1,1,1,1,1,1,1,0,0,0,0,,1,0,0,,FOUND
362,CRIM. CASE NO. TCS-6387,PHL014,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/phl/2012/crim._case_no._tcs-6387.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,1,0,0,1,1,1,1,4,1,1,1,1,1,1,1,0,0,0,0,,1,0,0,,FOUND
363,ECLI:NL:GHSHE:2012:BX0599,NLD005,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/nld/2012/eclinlghshe2012bx0599.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,3,1,3,1,1,1,1,6,1,1,1,1,1,1,1,0,0,0,0,,1,0,0,,FOUND
364,"Queen v Rong Chen, Simon Dempsey and Jason Owen Hinton",GBR015,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/gbr/2012/queen_v_rong_chen_simon_dempsey_and_jason_owen_hinton.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,4,1,3,1,1,1,1,4,1,1,3,1,3,9,1,0,0,0,0,,1,0,0,,FOUND
365,Proceso No.2011-74217,COL030,https://www.unodc.org/cld/case-law-doc/criminalgroupcrimetype/col/2012/proceso_no.2011-74217.html,criminalgroupcrimetype,FOUND,1,1,2,2,en|es,0,0,0,0,0,0,1,5,1,3,1,1,1,1,4,1,1,6,1,6,12,1,10,20,10,8,Fact Summary|Defendants / Respondents in the first instance|Defendants / Respondents in the first instance|Defendants / Respondents in the first instance|Defendants / Respondents in the first instance|Commentary and Significant Features|Procedural Information|Sources / Citations,2,6,5,DUPLICATE_TAB_PANE_ID|DUPLICATE_TAB_HREF|TAB_GROUP_NO_ACTIVE_PANE|DUPLICATE_TAB_PANE_ID|DUPLICATE_TAB_HREF|TAB_GROUP_MULTIPLE_ACTIVE_PANES,PARTIAL
366,United States v. Justin P. Cephus et al,USA130,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/usa/2012/united_states_v._justin_p._cephus_et_al.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,2,1,2,1,2,1,1,1,1,1,5,1,5,14,1,0,0,0,0,,1,0,0,,FOUND
367,11-194827MED-BBYR/01,NOR008,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/nor/2012/11-194827med-bbyr01.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,0,0,0,0,,1,0,0,,FOUND
368,Case No B 897-12,SWE009,https://www.unodc.org/cld/case-law-doc/drugcrimetype/swe/2012/_case_no_b_897-12.html,drugcrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,3,1,3,1,1,1,1,1,1,1,12,1,12,15,1,0,0,0,0,,4,0,0,,FOUND
369,"Causa I., S. O; D., B. N; S., J. L.; C. y M. I.",ARG026,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2012/causa_i._s._o_d._b._n_s._j._l._c._y_m._i..html,traffickingpersonscrimetype,FOUND,1,1,2,2,en|es,0,0,0,0,0,0,1,2,1,3,1,1,1,1,2,1,1,4,1,4,4,1,4,8,4,4,Fact Summary|Defendants / Respondents in the first instance|Procedural Information|Sources / Citations,1,0,0,,FOUND
370,Expte. 18/11,ARG058,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2012/expte._1811.html,traffickingpersonscrimetype,FOUND,1,1,2,2,en|es,0,0,0,0,0,0,1,2,1,2,1,1,1,1,2,1,1,4,1,4,8,1,4,8,4,4,Fact Summary|Defendants / Respondents in the first instance|Defendants / Respondents in the first instance|Commentary and Significant Features,1,0,0,,FOUND
371,Choen Pai Wan and Others,THA012,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/tha/2012/choen_pai_wan_and_others.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,4,1,3,1,2,1,1,15,1,1,5,1,5,14,1,0,0,0,0,,1,0,0,,FOUND
372,Criminal case of the Supreme Court 2012,LVA001,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/lva/2012/criminal_case_of_the_supreme_court_2012.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,,1,0,0,,FOUND
373,United States v. Rivera et al,USA150,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/usa/2012/united_states_v._rivera_et_al.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,3,1,3,1,2,1,1,1,1,1,3,1,3,26,1,0,0,0,0,,1,0,0,,FOUND
374,Case no B 2220-11,SWE012,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/swe/2012/case_no_b_2220-11.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,4,1,2,1,1,1,1,1,1,1,2,1,2,2,1,0,0,0,0,,1,0,0,,FOUND
375,Case no B 6114-11,SWE015,https://www.unodc.org/cld/case-law-doc/criminalgroupcrimetype/swe/2012/case_no_b_6114-11.html,criminalgroupcrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,2,1,2,1,1,1,1,1,1,1,6,1,6,7,1,0,0,0,0,,3,0,0,,FOUND
376,Proceso No33882,COL019,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/col/2012/proceso_no33882.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,1,1,2,1,1,1,1,1,1,1,4,1,4,4,1,1,2,0,0,,1,0,0,,FOUND
377,R v Watcharaporn Nantahkhum (SCC149 of 2010),AUS018,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/aus/2012/r_v_watcharaporn_nantahkhum_scc149_of_2010.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,4,1,3,1,2,1,1,2,1,1,1,1,1,6,1,0,0,0,0,,1,0,0,,FOUND
378,Case No. 1-766-11,UKR021,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/ukr/2012/case_no._1-766-11_.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,3,1,3,1,1,1,1,1,1,1,2,1,2,2,1,0,0,0,0,,1,0,0,,FOUND
379,CRIM. CASE NO. IR-7073,PHL031,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/phl/2012/crim._case_no._ir-7073.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,2,0,0,1,1,1,1,4,1,1,1,1,1,1,1,0,0,0,0,,1,0,0,,FOUND
380,Criminal Case No. CBU-92284 to CBU 92288,PHL064,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/phl/2012/criminal_case_no._cbu-92284_to_cbu_92288.html,traffickingpersonscrimetype,SECTION_ABSENT,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,,1,0,0,,FOUND
381,United States v. Fetter,USA164,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/usa/2012/united_states_v._fetter.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,2,1,1,1,1,1,1,1,1,1,3,1,3,4,1,0,0,0,0,,1,0,0,,FOUND
382,Case No. II AKa 121/12,POL018,https://www.unodc.org/cld/case-law-doc/criminalgroupcrimetype/pol/2012/case_no._ii_aka_12112.html,criminalgroupcrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,2,1,3,1,1,1,1,2,1,1,3,1,3,14,1,0,0,0,0,,2,0,0,,FOUND
383,17 T 6/2010,CZE030,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/cze/2012/17_t_62010.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,1,1,4,1,1,1,1,1,4,1,1,1,1,22,1,1,3,0,0,0,1,0,0,0,0,,2,0,0,,FOUND
384,R.G. 40262009 - Smuggling Case,ITAx023,https://www.unodc.org/cld/case-law-doc/criminalgroupcrimetype/ita/2012/r.g._40262009_-_smuggling_case.html,criminalgroupcrimetype,FOUND,1,1,1,1,en,0,0,1,1,1,2,0,0,0,0,0,0,1,1,1,1,1,3,1,3,3,0,0,0,0,0,,5,0,0,,FOUND
385,CRIM. CASE NO. 11-286939,PHL034,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/phl/2012/crim._case_no._11-286939.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,0,0,0,0,,1,0,0,,FOUND
386,Case No. 1-1519-1201-11,UKR004,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/ukr/2012/case_no._1-1519-1201-11.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,2,1,4,1,1,1,1,3,1,1,1,1,1,2,1,0,0,0,0,,1,0,0,,FOUND
387,Case No. 11-536-12,UKR019,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/ukr/2012/case_no._11-536-12.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,4,1,4,1,1,1,1,1,1,1,4,1,4,4,1,0,0,0,0,,1,0,0,,FOUND
388,Supreme court in Prague,CZE031,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/cze/2012/supreme_court_in_prague.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,5,0,0,0,1,0,0,0,0,,1,0,0,,FOUND
389,R v Divye Kumar Trivedi,AUS019,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/aus/2012/r_v_divye_kumar_trivedi.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,,1,0,0,,FOUND
390,Case No. 1-888-11,UKR018,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/ukr/2012/case_no._1-888-11.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,,1,0,0,,FOUND
391,Case n352012,BEL033,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/bel/2012/case_n352012.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,3,1,3,1,1,1,3,1,3,1,1,1,1,2,1,1,1,1,1,1,1,0,0,0,0,,1,0,0,,FOUND
392,Criminal Appeal ACR no. 5000868-17.2010.404.7008PR,BRA95,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/bra/2012/criminal_appeal_acr_no._5000868-17.2010.404.7008pr.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,,1,0,0,,FOUND
393,“J.E.F.”,ARG016,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2012/j.e.f._.html,traffickingpersonscrimetype,FOUND,1,1,2,2,en|es,0,0,0,0,0,0,1,4,1,2,1,1,1,1,1,1,1,2,1,2,2,1,4,8,4,4,Fact Summary|Defendants / Respondents in the first instance|Procedural Information|Sources / Citations,1,0,0,,FOUND
394,Sentencia No. /12,ARG020,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2012/sentencia_no._12.html,traffickingpersonscrimetype,FOUND,1,1,2,2,en|es,0,0,0,0,0,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,6,3,3,Fact Summary|Defendants / Respondents in the first instance|Sources / Citations,1,0,0,,FOUND
395,Queen v. Matyas Pis,GBR013,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/gbr/2012/queen_v._matyas_pis.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,3,1,1,1,1,1,1,2,1,1,1,1,1,3,1,0,0,0,0,,1,0,0,,FOUND
396,Case No. 2755,ARG054,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2012/case_no._2755.html,traffickingpersonscrimetype,FOUND,1,1,2,2,en|es,0,0,0,0,0,0,1,4,1,2,1,1,1,1,2,1,1,10,1,10,10,1,3,6,3,3,Fact Summary|Defendants / Respondents in the first instance|Commentary and Significant Features,1,0,0,,FOUND
397,Causa N 70/11,ARG046,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2012/causa_n_7011.html,traffickingpersonscrimetype,FOUND,1,1,2,2,en|es,0,0,0,0,0,0,1,4,1,2,1,1,1,1,2,1,1,4,1,4,5,1,4,8,4,4,Fact Summary|Commentary and Significant Features|Procedural Information|Sources / Citations,1,0,0,,FOUND
398,Case No150,MNG006,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/mng/2012/case_no150.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,2,1,0,0,0,0,,1,0,0,,FOUND
399,Case No. K4358-11 [2012],SRB035,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/srb/2012/case_no._k4358-11_2012.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,3,1,3,1,1,1,1,2,1,1,1,1,1,1,1,0,0,0,0,,1,0,0,,FOUND
400,h12-04-03,BEL035,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/bel/2012/h12-04-03.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,2,1,4,1,2,1,2,1,4,1,2,1,1,3,1,1,1,1,1,1,1,0,0,0,0,,2,0,0,,FOUND
401,Criminal Appeal ACR no. 2003.70.01.015337,BRA96,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/bra/2012/criminal_appeal_acr_no._2003.70.01.015337.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,,1,0,0,,FOUND
402,1188-98.20114.01.300 AC,BRA125,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/bra/2012/1188-98.20114.01.300_ac.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,4,1,1,1,1,1,4,1,1,1,1,1,1,2,1,1,1,1,1,2,1,0,0,0,0,,1,0,0,,FOUND
403,CRIM. CASES NOS. RTC 2010-0083 and 0084,PHL022,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/phl/2012/crim._cases_nos._rtc_2010-0083_and_0084.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,3,1,3,1,1,1,1,2,1,1,2,1,2,2,1,0,0,0,0,,1,0,0,,FOUND
404,Case No B 111-12,SWE022,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/swe/2012/case_no_b_111-12.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,3,1,3,1,1,1,1,2,1,1,3,1,3,3,1,0,0,0,0,,2,0,0,,FOUND
405,"R v A.P., L.S. and H.P.",JAM004,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/jam/2012/r_v_a.p._l.s._and_h.p._.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,3,1,4,1,1,1,1,1,1,1,3,1,3,3,1,0,0,0,0,,1,0,0,,FOUND
406,CRIM. CASE NO. R-LLP-08-2900-CR,PHL039,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/phl/2012/crim._case_no._r-llp-08-2900-cr.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,3,1,2,1,1,1,1,11,1,1,3,1,3,3,1,0,0,0,0,,1,0,0,,FOUND
407,CRIM. CASE NO. 0310-2009,PHL055,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/phl/2012/crim._case_no._0310-2009.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,3,1,2,1,2,1,1,2,1,1,1,1,1,1,1,0,0,0,0,,1,0,0,,FOUND
408,"Cass. Pen. Sez. V, n. 10784",ITA005,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/ita/2012/cass._pen._sez._v_n._10784.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,3,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,,1,0,0,,FOUND
409,Case No B 16821-11,SWE028,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/swe/2012/case_no_b_16821-11.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,3,1,3,1,1,1,1,1,1,1,3,1,3,3,1,0,0,0,0,,1,0,0,,FOUND
410,Processo nº 2001.83.00.007512-0,BRA074,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/bra/2012/processo_n_2001.83.00.007512-0_.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,2,1,3,1,1,1,1,2,1,1,1,1,1,1,1,0,0,0,0,,1,0,0,,FOUND
411,Causa n° 978,ARG006,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2012/causa_n_978_.html,traffickingpersonscrimetype,FOUND,1,1,2,2,en|es,0,0,0,0,0,0,1,5,1,2,1,1,1,1,2,1,1,5,1,5,5,1,4,8,4,4,Fact Summary|Defendants / Respondents in the first instance|Procedural Information|Sources / Citations,1,0,0,,FOUND
412,Processo nº 2004.81.00.006158-0,BRA008,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/bra/2012/processo_n_2004.81.00.006158-0.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,2,1,3,1,2,1,1,1,1,1,1,1,1,2,1,0,0,0,0,,1,0,0,,FOUND
413,CRIM. CASE NO. CBU-83123,PHL052,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/phl/2012/crim._case_no._cbu-83123.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,0,0,0,0,,1,0,0,,FOUND
414,Case No. K-2455/11 [2012],SRB033,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/srb/2012/case_no._k-245511_2012.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,3,1,1,1,1,1,1,1,1,1,2,1,2,2,1,0,0,0,0,,1,0,0,,FOUND
415,Case No B 756-12,SWE030,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/swe/2012/case_no_b_756-12.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,,1,0,0,,FOUND
